,repository_name,language
195,amlFilesystem-tools,Shell
196,AMLSDKRModelsOperationalization,HTML
197,AMLWorkshop,Jupyter Notebook
198,AML_Interpret_usecases,Jupyter Notebook
199,AMOS,Python
200,amplify,Shell
201,AMRL-ICLR2020,Python
202,analysing_pii_leakage,Python
203,Analysis-Framework-for-TVM,Python
204,Analysis-Services,C#
205,analyzer-for-robot-teaching-demonstrations,Python
206,AnanthaRekha,C#
207,ANCE,Python
208,android-app-size-diff,TypeScript
209,android-samples,Kotlin
210,Angara,F#
211,Angara.Chart,F#
212,Angara.Flow,F#
213,Angara.Serialization,F#
214,Angara.Statistics,F#
215,Angara.Table,F#
216,angle,
217,angular-react,TypeScript
218,angular2-in-visual-studio,TypeScript
219,angular2-slickgrid,TypeScript
220,AngularLanguageServiceExtFeedback,
221,Annotation-Factory,Python
222,anomalydetector,Python
223,AnsibleLabs,Python
224,antares,C++
225,AnyContainer,C#
226,anymatch,JavaScript
227,aoai-enrichment,
228,aoai-logging-with-apim,C#
229,aoai-virtual-assistant,JavaScript
230,Apache-Provider,C++
231,apex,Python
232,api-extractor.com-website,SCSS
233,api-guidelines,
234,api.rushstack.io-website,
235,app-camp,JavaScript
236,app-center-app-react-native,JavaScript
237,app-center-app-shared,
238,app-center-app-xamarin,C#
239,app-dev-briefings,Java
240,App-Extensibility-Sample,C#
241,app-innovation-team,C#
242,app-innovation-workshop,C#
243,app-metadata,TypeScript
244,app-store-badge,HTML
245,app-store-vsts-extension,TypeScript
246,App-Templates,
247,appcenter,Shell
248,appcenter-build-scripts-examples,
249,appcenter-cli,TypeScript
250,appcenter-rest-python,Python
251,appcenter-sample-export,C#
252,appcenter-sampleapp-android,Java
253,appcenter-sampleapp-ios-swift,Swift
254,appcenter-sampleapp-macos-swift,Swift
255,appcenter-sampleapp-react-native,TypeScript
256,appcenter-sampleapp-tvos-swift,Swift
257,appcenter-sampleapp-xamarin,C#
258,appcenter-sdk-android,Java
259,appcenter-sdk-android-breakpad,C++
260,appcenter-sdk-apple,Objective-C
261,appcenter-sdk-cordova,Objective-C
262,appcenter-sdk-dotnet,C#
263,appcenter-sdk-react-native,JavaScript
264,appcenter-sdk-unity,C#
265,AppCenter-SDK-Unity-Extension,C#
266,AppCenter-Test-Appium-Java-Extensions,Java
267,AppCenter-Test-Espresso-Extensions,Java
268,AppCenter-Test-XCUITest-Extensions,Shell
269,appcenter-Xamarin.Forms-Gallery-Demo,C#
270,appcenter-Xamarin.UITest-Demo,C#
271,AppConsult-MSIXDevWorkshop,
272,AppConsult-Samples-MixedReality,C#
273,AppConsult-WinAppsModernizationWorkshop,C#
274,AppInsights.EnterpriseTelemetry,C#
275,AppInsights.EnterpriseTelemetry.AspNetCore.Extension,C#
276,appium,JavaScript
277,appium-windows-driver,JavaScript
278,apple-ux-guide,Swift
279,Application-Insights-Istio-Adapter,C#
280,Application-Insights-K8s-Codeless-Attach,TypeScript
281,Application-Insights-Workbooks,JSON
282,ApplicationInsights-Android,Java
283,applicationinsights-angularplugin-js,TypeScript
284,ApplicationInsights-Announcements,
285,ApplicationInsights-aspnetcore,C#
286,applicationinsights-channel-js,JavaScript
287,applicationinsights-core-js,JavaScript
288,ApplicationInsights-CPP,C++
289,ApplicationInsights-Docker,Java
290,ApplicationInsights-Docker-Dockerfile,Dockerfile
291,ApplicationInsights-dotnet,C#
292,ApplicationInsights-dotnet-logging,C#
293,ApplicationInsights-dotnet-server,C#
294,ApplicationInsights-Go,Go
295,ApplicationInsights-iOS,Objective-C
296,ApplicationInsights-Java,Java
297,ApplicationInsights-Java-Repros,Java
298,ApplicationInsights-JS,TypeScript
299,ApplicationInsights-JS-Mezzurite,HTML
300,ApplicationInsights-Kubernetes,C#
301,ApplicationInsights-LocalForwarder,C#
302,ApplicationInsights-node.js,TypeScript
303,ApplicationInsights-node.js-native-metrics,C++
304,ApplicationInsights-OSX,Objective-C
305,ApplicationInsights-PHP,PHP
306,ApplicationInsights-Profiler-AspNetCore,
307,ApplicationInsights-Python,Python
308,applicationinsights-react-js,JavaScript
309,applicationinsights-react-native,JavaScript
310,ApplicationInsights-Ruby,Ruby
311,ApplicationInsights-SAP-Fiori-Plugin,JavaScript
312,ApplicationInsights-SDK-Labs,C#
313,ApplicationInsights-ServiceFabric,C#
314,ApplicationInsights-SnapshotCollector,
315,ApplicationInsights-statsd,TypeScript
316,applicationinsights-vscode,
317,ApplicationInsights-WordPress,PHP
318,ApplicationInsights-Xamarin,C#
319,ApplicationInspector,C#
320,ApplicationInspector-Action,Shell
321,appliedai-rag101,Jupyter Notebook
322,AppliedRoboticsResearchLibrary,
323,AppModelSamples,
324,Appsample-Photosharing,C#
325,AppSource,
326,APRON,C
327,APSI,C++
328,APSINet,C#
329,APS_Query_Toolbox,
330,apt-package-function,Bicep
331,apt-transport-blob,Rust
332,aqa-tests,HTML
333,aqafer,
334,AR2,Python
335,aragog,C++
336,arc-sql-mi-db-operator,Go
337,arcade-background-scroll,TypeScript
338,arcade-block-objects,TypeScript
339,arcade-carnival,JavaScript
340,arcade-chaos-maze,TypeScript
341,arcade-character-animations,TypeScript
342,arcade-dom,TypeScript
343,arcade-forest-fire,TypeScript
344,arcade-grid,TypeScript
345,arcade-machine,TypeScript
346,arcade-machine-react,TypeScript
347,arcade-minimap,TypeScript
348,arcade-platformer,TypeScript
349,arcade-sprite-data,TypeScript
350,arcade-storytelling,TypeScript
351,arcade-swarm-animation,TypeScript
352,arcade-text,TypeScript
353,arcade-tile-util,TypeScript
354,arcade-timers,TypeScript
355,arcade-tutorial-extensions,JavaScript
356,arcana.cpp,C++
357,archai,Python
358,archived-confidential-sidecar-containers,Go
359,ArchProbe,C++
360,arcticseals,Jupyter Notebook
361,ardiffact,TypeScript
362,ArduinoHidForWindows,C++
363,ARI,PowerShell
364,ark,C++
365,arm-debug-deployment-cleanup,PowerShell
366,Armada,C#
367,aroundtheclock,
368,aroworkshop,SCSS
369,arr-grasp-type-recognition,Python
370,art,TypeScript
371,artifacts-credprovider,C#
372,artifacts-credprovider-conda,
373,artifacts-keyring,Python
374,ARXGEN,Python
375,ArxivFormula,Python
376,asclepius,Jupyter Notebook
377,asconnect,Python
378,ASDET,Jupyter Notebook
379,ASL-citizen-code,Python
380,aspnet-docker,Dockerfile
381,AspNetCore-React-WebApp,C#
382,AspNetCoreInjection.TypedFactories,C#
383,ASRDFD,C
384,asrr_tools,
385,assent-app,C#
386,assessment,C#
387,asset-bundle-stats,
388,ASTRA,Python
389,Asynchronous_impulse_response_measurement,MATLAB
390,ATA-Auditing,
391,ATAC,Python
392,Atlas,C#
393,atlas-design,SCSS
394,atp-edu,Jupyter Notebook
395,attacksimulationandtraining,PowerShell
396,AttackSurfaceAnalyzer,C#
397,Attestation-Client-Samples,C++
398,attested-fetch,C++
